group,team
Group A,Mexico
Group A,South Africa
Group A,South Korea
Group A,Czechia
Group B,Canada
Group B,Bosnia and Herzegovina
Group B,Qatar
Group B,Switzerland
Group C,Brazil
Group C,Morocco
Group C,Haiti
Group C,Scotland
Group D,USA
Group D,Paraguay
Group D,Australia
Group D,Turkey
Group E,Germany
Group E,Curacao
Group E,Ivory Coast
Group E,Ecuador
Group F,Netherlands
Group F,Japan
Group F,Sweden
Group F,Tunisia
Group G,Belgium
Group G,Egypt
Group G,Iran
Group G,New Zealand
Group H,Spain
Group H,Cape Verde
Group H,Saudi Arabia
Group H,Uruguay
Group I,France
Group I,Senegal
Group I,Iraq
Group I,Norway
Group J,Argentina
Group J,Algeria
Group J,Austria
Group J,Jordan
Group K,Portugal
Group K,DR Congo
Group K,Uzbekistan
Group K,Colombia
Group L,England
Group L,Croatia
Group L,Ghana
Group L,Panama